name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
The Elder Scrolls V: Skyrim,2011-11-10,1,Bethesda Game Studios,Bethesda Softworks,windows,16,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud,RPG,Open World;RPG;Fantasy,75,237303,14951,7089,3885,10000000-20000000,9.99,1.16,2.12,0.0,0.6,3.88,94.0,32.0,8.1,9073.0
Cities in Motion,2011-02-22,1,Colossal Order Ltd.,Paradox Interactive,windows;mac;linux,0,Single-player;Steam Achievements,Simulation,Simulation;Management;Strategy,47,605,179,1,1,200000-500000,14.99,0.0,0.04,0.0,0.01,0.05,70.0,20.0,7.7,105.0
Sengoku,2011-09-15,1,Paradox Development Studio,Paradox Interactive,windows,0,Single-player;Multi-player;Steam Trading Cards,RPG;Simulation;Strategy,Strategy;Simulation;Grand Strategy,0,205,110,112,112,100000-200000,7.99,0.0,0.01,0.0,0.0,0.01,70.0,13.0,6.8,86.0
Saints Row IV,2013-08-22,1,Deep Silver Volition,Deep Silver,windows;linux,16,Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,Action;Adventure,Open World;Action;Comedy,73,54091,4945,1279,1094,2000000-5000000,10.99,0.11,0.06,0.0,0.02,0.19,86.0,45.0,7.4,1543.0
Game of Thrones,2012-06-07,1,Cyanide Studios,Focus Home Interactive,windows,0,Single-player;Steam Achievements;Full controller support,Action;RPG,RPG;Action;Fantasy,50,1407,587,1042,1421,200000-500000,10.99,0.0,0.07,0.0,0.01,0.08,58.0,23.0,6.5,345.0
Far Cry 3,2012-11-28,1,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",Ubisoft,windows,0,Single-player;Multi-player;Co-op;Partial Controller Support,Action;Adventure,Open World;FPS;Action,0,46331,5622,836,794,2000000-5000000,16.99,0.22,0.62,0.0,0.12,0.96,88.0,43.0,8.2,3183.0
Contrast,2013-11-15,1,Compulsion Games,Focus Home Interactive,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Female Protagonist;Noir;Indie,22,4028,415,91,91,200000-500000,8.49,0.0,0.01,0.0,0.0,0.01,62.0,24.0,7.7,169.0
F1 2014,2014-10-16,1,Codemasters,Codemasters,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Racing;Sports,Racing;Sports;Simulation,49,1113,317,1508,1508,100000-200000,19.99,0.0,0.09,0.0,0.01,0.1,61.0,20.0,4.8,65.0
Euro Truck Simulator 2,2012-10-12,1,SCS Software,SCS Software,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,Indie;Simulation,Simulation;Driving;Open World,67,176769,5825,4942,1413,5000000-10000000,14.99,0.0,0.12,0.0,0.02,0.13,79.0,17.0,8.7,992.0
Remember Me,2013-06-06,1,DONTNOD Entertainment,Capcom,windows,16,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure,Cyberpunk;Action;Female Protagonist,50,9080,1815,276,238,500000-1000000,22.99,0.0,0.05,0.0,0.0,0.06,65.0,26.0,7.4,1007.0
The Night of the Rabbit,2013-05-28,1,Daedalic Entertainment,Daedalic Entertainment,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Point & Click;Indie,17,1700,179,96,112,200000-500000,16.99,0.0,0.03,0.0,0.0,0.03,75.0,45.0,7.5,82.0
