,game,reviewer_rating,positivity_ratio,first_release_date,game_modes,genres,themes,binned_developer,developer_RewindApp,developer_Ripknot Systems,developer_CAPCOM Co. Ltd.,developer_Kairosoft Co.Ltd,developer_Winged Cloud,developer_KOEI TECMO GAMES CO. LTD.,developer_Choice of Games,developer_EGAMER,developer_Scott Cawthon,developer_Tero Lunkka,binned_developer_encoded
11527,Courage and Honor,5.0,0.88,2020,1,12,1,Funny Games,0,0,0,0,0,0,0,0,0,0,146
11528,Road Maintenance Simulator,5.0,1.05,2022,1,10,28,Caipirinha Games,0,0,0,0,0,0,0,0,0,0,60
11529,Beyond Extinct,7.0,8.33,2020,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11530,Wetwork,4.0,0.56,2018,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11531,Robot Fighting,4.0,0.32,2018,1,32,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11532,Barbara-ian,7.0,3.5,2017,1,32,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11533,Worldwide Sports Fishing,7.0,5.0,2019,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11534,Dungeons & Treasure VR,6.0,2.89,2017,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11535,The Maze VR,5.0,0.83,2020,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11536,Ven VR Adventure,8.0,4.19,2021,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11537,Survive on Raft,5.0,1.62,2022,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11538,Differently Fast,7.0,10.0,2018,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11539,Body of Evidence,5.0,0.64,2020,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11540,Bizango Blast,5.0,0.8,2018,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11541,The Little Ball That Could,7.0,6.5,2017,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11542,Bound Up & Squirming!,7.0,10.0,2019,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11543,Archtower,8.0,10.4,2022,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11544,Runespell: Overture,6.0,2.88,2011,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11545,Sea Horizon,8.0,4.5,2022,1,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11546,Overrogue,5.0,1.91,2022,1,12,17,Exe Create Inc.,0,0,0,0,0,0,0,0,0,0,123
11547,Stream Battlecards,7.0,5.5,2018,2,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11548,Rust,8.0,6.67,2018,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11549,Garry's Mod,9.0,29.19,2004,1,13,33,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11550,VRChat,6.0,2.64,2017,1,13,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11551,Street Warriors Online,5.0,1.37,2016,2,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11552,DayZ,6.0,2.78,2018,2,5,1,Bohemia Interactive,0,0,0,0,0,0,0,0,0,0,49
11553,NBA 2K21,5.0,0.71,2020,1,13,1,Visual Concepts,0,0,0,0,0,0,0,0,0,0,400
11554,FIFA 22,8.0,4.07,2021,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11555,FIFA 22,8.0,4.07,2021,1,14,32,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11556,Fistful of Frags,8.0,10.57,2007,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11557,Overcooked! 2,8.0,9.54,2018,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11558,Russian Fishing 4,6.0,3.18,2018,1,12,32,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11559,F1 2015,5.0,1.7,2015,1,10,32,Codemasters,0,0,0,0,0,0,0,0,0,0,71
11560,Rec Room,8.0,10.52,2016,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11561,Just Survive,5.0,1.44,2015,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11562,Insurgency: Sandstorm,8.0,5.68,2018,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11563,Hell Let Loose,8.0,4.86,2019,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11564,Star Conflict,6.0,2.88,2012,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11565,Pavlov VR,8.0,15.3,2017,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11566,Depth,8.0,7.25,2014,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11567,War Trigger 3,5.0,1.48,2015,2,5,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11568,War Trigger 3,5.0,1.48,2015,2,5,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11569,War Trigger 3,5.0,1.4,2015,2,5,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11570,War Trigger 3,5.0,1.4,2015,2,5,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11571,Creativerse,6.0,3.58,2017,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11572,Viscera Cleanup Detail: Santa's Rampage,8.0,10.17,2013,1,13,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11573,My Summer Car,8.0,15.95,2016,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11574,MudRunner,8.0,9.38,2017,1,10,33,Saber Interactive,0,0,0,0,0,0,0,0,0,0,325
11575,Viscera Cleanup Detail,8.0,14.15,2015,1,13,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11576,Her Story,8.0,8.64,2015,1,2,31,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11577,Medieval Dynasty,8.0,9.77,2020,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11578,Assetto Corsa Competizione,8.0,11.25,2019,1,10,38,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11579,Townscaper,9.0,24.9,2020,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11580,X-Plane 11,8.0,12.54,2017,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11581,Untitled Goose Game,9.0,22.41,2019,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11582,Hurtworld,6.0,3.21,2019,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11583,Only If,5.0,1.69,2014,1,9,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11584,State of Decay,8.0,5.44,2013,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11585,Slime Rancher 2,9.0,20.11,2022,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11586,Cruelty Squad,9.0,31.91,2021,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11587,Forager,8.0,9.51,2019,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11588,Stormworks: Build and Rescue,8.0,11.73,2020,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11589,The Long Drive,8.0,10.69,2019,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11590,Miscreated,5.0,1.97,2018,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11591,Viscera Cleanup Detail: Shadow Warrior,8.0,4.08,2013,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11592,Universe Sandbox Legacy,8.0,4.27,2011,1,13,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11593,Next Day: Survival,5.0,1.7,2018,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11594,Data Hacker: Corruption,5.0,0.91,2014,1,12,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11595,Wobbly Life,9.0,31.92,2020,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11596,Amazing Frog?,8.0,13.66,2014,1,31,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11597,Devolverland Expo,8.0,8.43,2020,1,5,1,Flying Wild Hog,0,0,0,0,0,0,0,0,0,0,132
11598,Cosmic Pioneer,5.0,1.03,2017,1,13,18,Amaterasu Software,0,0,0,0,0,0,0,0,0,0,21
11599,Undisputed,6.0,3.32,2023,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11600,Escape Simulator,8.0,15.06,2021,1,2,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11601,Robot vs Birds Zombies,4.0,0.45,2015,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11602,IL-2 Sturmovik: Battle of Stalingrad,8.0,4.25,2014,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11603,Survive the Nights,5.0,1.8,2017,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11604,Velvet Sundown,5.0,1.5,2014,2,12,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11605,My Time at Sandrock,8.0,6.94,2022,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11606,Exanima,8.0,4.62,2015,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11607,Hand Simulator: Survival,8.0,6.44,2019,1,12,1,HFM Games,0,0,0,0,0,0,0,0,0,0,161
11608,Breathedge,8.0,5.13,2018,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11609,Zero Caliber VR,6.0,3.6,2018,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11610,Fun with Ragdolls: The Game,8.0,7.12,2019,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11611,Sun Haven,8.0,7.28,2021,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11612,Intruder,8.0,9.33,2019,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11613,Intruder,8.0,9.33,1979,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11614,Slingshot people,5.0,0.91,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11615,WWE 2K20,5.0,0.75,2019,1,13,1,Visual Concepts,0,0,0,0,0,0,0,0,0,0,400
11616,Interstellar Marines,5.0,1.24,2013,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11617,35MM,6.0,2.49,2016,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11618,Mist Survival,6.0,3.96,2018,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11619,WWE 2K18,5.0,1.15,2017,1,4,1,Visual Concepts,0,0,0,0,0,0,0,0,0,0,400
11620,Visage,8.0,6.24,2020,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11621,IL-2 Sturmovik: 1946,8.0,7.97,2006,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11622,Dinosaur Hunt,5.0,2.0,2015,1,13,1,Racing Bros,0,0,0,0,0,0,0,0,0,0,294
11623,Tank Force,5.0,1.8,2017,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11624,Quadrilateral Cowboy,8.0,11.19,2016,1,9,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11625,The Solus Project,6.0,3.94,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11626,War Robots VR: The Skirmish,6.0,3.97,2017,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11627,Stationeers,8.0,5.19,2017,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11628,Late Shift,8.0,6.4,2017,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11629,Starbase,5.0,1.5,2021,1,13,1,Frozenbyte,0,0,0,0,0,0,0,0,0,0,142
11630,Night of the Dead,6.0,3.81,2020,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11631,CAT Interstellar,6.0,2.53,2015,1,31,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11632,Marbles on Stream,8.0,6.59,2018,1,10,33,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11633,Planet Explorers,5.0,1.67,2016,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11634,Rake,6.0,2.38,2015,1,13,1,Konsordo,0,0,0,0,0,0,0,0,0,0,203
11635,The Ranger: Lost Tribe,6.0,3.93,2017,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11636,Automobilista 2,8.0,9.67,2020,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11637,Fingerbones,6.0,3.72,2014,1,31,19,David Szymanski,0,0,0,0,0,0,0,0,0,0,93
11638,Sparkle 3 Genesis,5.0,1.61,2015,1,12,1,Forever Entertainment S. A.,0,0,0,0,0,0,0,0,0,0,135
11639,Genesis Online,4.0,0.47,2015,2,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11640,Fishing: Barents Sea,6.0,3.76,2018,1,13,28,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11641,Volcanoids,8.0,5.38,2019,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11642,Minds Eyes,6.0,2.47,2016,1,31,1,Stanislaw Truchowski,0,0,0,0,0,0,0,0,0,0,359
11643,Ampu-Tea,5.0,1.67,2013,1,12,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11644,Bus Driver,8.0,4.15,2007,1,10,32,SCS Software,0,0,0,0,0,0,0,0,0,0,321
11645,Daily Chthonicle: Editor's Edition,6.0,2.89,2016,1,12,43,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11646,WolfQuest: Anniversary Edition,9.0,35.87,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11647,WWE 2K19,6.0,2.87,2018,1,13,32,Visual Concepts,0,0,0,0,0,0,0,0,0,0,400
11648,Ice Lakes,8.0,5.87,2016,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11649,Rick and Morty: Virtual Rick-ality,6.0,2.93,2017,1,9,1,Owlchemy Labs,0,0,0,0,0,0,0,0,0,0,278
11650,WWE 2K17,5.0,1.8,2016,1,13,1,Visual Concepts,0,0,0,0,0,0,0,0,0,0,400
11651,Paintball War,5.0,0.74,2018,2,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11652,Hobo: Tough Life,8.0,5.01,2017,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11653,Lucius II,5.0,1.58,2015,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11654,Battle Royale Trainer,5.0,1.36,2018,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11655,Football Manager 2020 Touch,8.0,6.83,2019,1,13,32,Sports Interactive,0,0,0,0,0,0,0,0,0,0,357
11656,Depth Hunter 2: Deep Dive,6.0,2.86,2014,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11657,The Drone Racing League Simulator,8.0,5.44,2017,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11658,Hentai Girl,8.0,12.97,2018,1,12,42,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11659,War Trigger 2,5.0,1.2,2020,2,13,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11660,War Trigger 2,5.0,1.2,2020,2,13,1,Rocketeer Games Studio LLC,0,0,0,0,0,0,0,0,0,0,314
11661,Vacation Simulator,8.0,10.36,2019,1,9,1,Owlchemy Labs,0,0,0,0,0,0,0,0,0,0,278
11662,Monster Loves You!,6.0,3.57,2013,1,9,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11663,Wurm Unlimited,6.0,2.47,2015,1,9,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11664,This Land Is My Land,6.0,2.56,2019,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11665,Find Out,5.0,1.22,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11666,Modbox,8.0,6.52,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11667,Ship Simulator Extremes,5.0,1.03,2010,1,13,33,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11668,The Infected,8.0,6.57,2020,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11669,Starpoint Gemini,4.0,0.48,2012,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11670,Zelter,5.0,1.2,2020,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11671,Sakuna: Of Rice and Ruin,8.0,12.87,2020,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11672,Exo One,8.0,9.59,2021,1,13,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11673,Strike Vector,5.0,2.09,2014,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11674,The Cubicle.,8.0,6.94,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11675,The Mortuary Assistant,8.0,11.06,2022,1,9,19,DarkStone Digital,0,0,0,0,0,0,0,0,0,0,91
11676,Our End of the World,6.0,3.98,2018,1,13,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11677,Mr.President!,8.0,4.05,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11678,Heat,5.0,0.98,2019,2,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11679,Contraband Police,8.0,15.3,2023,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11680,West Sweety,8.0,5.86,2019,1,12,42,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11681,Heavenly Bodies,9.0,24.55,2021,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11682,Riding Club Championships,6.0,2.91,2016,2,10,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11683,Prison Simulator,8.0,6.94,2021,1,4,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11684,AquaNox,6.0,2.45,2001,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11685,IL-2 Sturmovik: Cliffs of Dover,5.0,1.99,2011,1,13,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11686,Dream Date,8.0,6.12,2020,1,31,42,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11687,Cyberia,7.0,32.0,1994,1,5,1,Xatrix Entertainment,0,0,0,0,0,0,0,0,0,0,413
11688,The Lords of the Earth Flame,5.0,2.16,2016,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11689,Incline,5.0,1.03,2017,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11690,Madness Cubed,6.0,3.13,2016,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11691,Five Dates,8.0,7.38,2020,1,13,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11692,Gaokao.Love.100Days,8.0,16.92,2015,1,12,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11693,Rising Angels: Reborn,8.0,4.07,2014,1,13,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11694,Lonely Mountains: Downhill,8.0,11.34,2019,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11695,Merchant,6.0,3.69,2014,5,12,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11696,Tiny Town VR,8.0,11.55,2017,1,13,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11697,The Average Everyday Adventures of Samantha Browne,8.0,4.42,2016,1,12,31,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11698,Pretty Neko,8.0,13.3,2020,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11699,Kingsway,8.0,11.71,2017,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11700,Written in the Sky,6.0,3.52,2015,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11701,Need For Drink,6.0,2.93,2017,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11702,Placid Plastic Duck Simulator,9.0,63.34,2022,1,7,27,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11703,Just Die Already,8.0,4.26,2021,1,8,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11704,Horse Riding Tales,5.0,1.39,2019,1,10,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11705,Enforcer: Police Crime Action,5.0,0.9,2014,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11706,Bigscreen Beta,8.0,5.94,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11707,New Star Soccer 5,5.0,2.1,2011,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11708,Accounting+,6.0,3.25,2017,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11709,Holy Potatoes! A Weapon Shop?!,6.0,2.58,2015,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11710,Kinetic Void,1.0,0.22,2014,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11711,No Place Like Home,8.0,4.5,2020,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11712,Bad Guys at School,8.0,6.68,2020,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11713,Explore Fushimi Inari,8.0,17.09,2019,1,13,32,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11714,Elven Assassin,8.0,5.66,2016,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11715,Digimon Survive,8.0,4.33,2022,1,12,17,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11716,Lightblade VR,6.0,3.89,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11717,My Little Blacksmith Shop,6.0,3.33,2017,1,13,17,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11718,The Blackout Club,6.0,3.9,2019,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11719,Hacker Simulator,6.0,3.23,2021,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11720,Lift It,5.0,1.14,2017,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11721,Air Conflicts: Vietnam,4.0,0.44,2013,1,4,1,Games Farm,0,0,0,0,0,0,0,0,0,0,154
11722,Planet Nomads,5.0,1.94,2019,1,12,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11723,Lunar Flight,8.0,4.28,2012,1,13,18,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11724,House of Evil,4.0,0.61,2017,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11725,Dysterra,5.0,1.54,2022,2,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11726,The Station,8.0,5.94,2018,1,9,18,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11727,AquaNox 2: Revelation,6.0,2.8,2003,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11728,Football Manager 2019 Touch,8.0,4.5,2018,1,13,28,Sports Interactive,0,0,0,0,0,0,0,0,0,0,357
11729,My Name is Mayo,8.0,5.07,2016,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11730,Scoot,8.0,7.59,2020,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11731,Britannic: Patroness of the Mediterranean,8.0,8.71,2020,1,12,22,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11732,Kitty Powers' Matchmaker,9.0,21.0,2014,1,13,27,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11733,Deadliest Catch: The Game,5.0,1.12,2019,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11734,Crazy Buggy Racing,4.0,0.57,2017,1,10,1,VGstudio,0,0,0,0,0,0,0,0,0,0,391
11735,Holopoint,8.0,8.63,2016,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11736,Model Builder,6.0,3.55,2022,1,13,32,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11737,Drums Hero PC,5.0,1.92,2017,1,13,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11738,Wardwell House,8.0,4.68,2020,1,13,19,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11739,Arid,8.0,6.75,2021,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11740,Out of Reach,5.0,1.37,2015,1,12,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11741,Thief Simulator VR,5.0,2.27,2019,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11742,Relaxation balls,5.0,1.02,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11743,Reload,6.0,3.04,2010,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11744,Star Shelter,6.0,3.59,2017,1,12,1,Overflow,0,0,0,0,0,0,0,0,0,0,277
11745,Surgeon Simulator: Experience Reality,5.0,1.03,2016,1,13,1,Bossa Studios,0,0,0,0,0,0,0,0,0,0,52
11746,Interstellar Rift,6.0,2.44,2015,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11747,Tailor Tales,9.0,20.28,2019,1,13,44,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11748,Salt,6.0,3.29,2013,1,2,22,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11749,Salt,6.0,3.29,2018,1,2,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11750,He Will Shoot,5.0,0.95,2021,1,5,1,Boom Games,0,0,0,0,0,0,0,0,0,0,51
11751,Scrutinized,8.0,8.47,2020,1,9,19,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11752,Lost Crew,7.0,5.57,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11753,Infinitum,5.0,1.34,2017,1,13,1,VGstudio,0,0,0,0,0,0,0,0,0,0,391
11754,Richie's Plank Experience,8.0,4.24,2016,1,13,40,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11755,BattleBeasts,4.0,0.24,2021,2,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11756,Skeet: VR Target Shooting,6.0,3.15,2016,1,13,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11757,Paint Warfare,8.0,5.19,2019,1,5,1,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11758,Miner Wars 2081,4.0,0.56,2012,1,5,1,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
11759,Fugl,8.0,5.15,2017,1,12,38,Single Appearance,0,0,0,0,0,0,0,0,0,0,341
11760,Tourist Bus Simulator,5.0,1.97,2018,1,10,28,2-4 Appearances,0,0,0,0,0,0,0,0,0,0,3
